Sample,Symbol,Subtype,Chan,Num
9,+,0,0,0
46,F,0,0,0
209,V,1,0,0
483,N,0,0,0
697,F,0,0,0
853,V,1,0,0
1181,N,0,0,0
1378,V,0,0,0
1579,V,0,0,0
1860,N,0,0,0
2058,V,1,0,0
2242,V,1,0,0
2558,N,0,0,0
2747,V,1,0,0
2930,V,1,0,0
3201,N,0,0,0
3411,V,1,0,0
3606,V,1,0,0
3886,N,0,0,0
4097,F,0,0,0
4262,V,1,0,0
4565,N,0,0,0
4766,F,0,0,0
4944,V,1,0,0
5196,N,0,0,0
5414,F,0,0,0
5568,V,1,0,0
5899,N,0,0,0
6105,V,1,0,0
6304,V,1,0,0
6482,~,2,0,0
6579,N,0,0,0
6776,F,0,0,0
6941,V,1,0,0
7169,N,0,0,0
7349,N,0,0,0
7547,F,0,0,0
7750,N,0,0,0
7951,N,0,0,0
8093,~,0,0,0
8147,N,0,0,0
8317,V,1,0,0
8532,N,0,0,0
8727,N,0,0,0
8922,N,0,0,0
9087,V,1,0,0
9294,N,0,0,0
9472,N,0,0,0
9649,N,0,0,0
9824,V,1,0,0
10035,N,0,0,0
10233,N,0,0,0
10423,N,0,0,0
10595,V,0,0,0
10791,N,0,0,0
10973,N,0,0,0
11155,N,0,0,0
11324,V,0,0,0
11526,N,0,0,0
11697,N,0,0,0
11888,N,0,0,0
12055,V,1,0,0
12273,N,0,0,0
12471,N,0,0,0
12680,N,0,0,0
12894,N,0,0,0
13030,~,2,0,0
13099,N,0,0,0
13292,F,0,0,0
13486,N,0,0,0
13673,N,0,0,0
13850,N,0,0,0
14046,N,0,0,0
14251,N,0,0,0
14449,N,0,0,0
14619,V,1,0,0
14845,N,0,0,0
15036,N,0,0,0
15218,V,1,0,0
15431,N,0,0,0
15628,N,0,0,0
15831,F,0,0,0
16033,N,0,0,0
16241,N,0,0,0
16422,V,1,0,0
16677,N,0,0,0
16899,N,0,0,0
17088,V,1,0,0
17312,N,0,0,0
17515,N,0,0,0
17715,F,0,0,0
17916,N,0,0,0
18110,N,0,0,0
18306,N,0,0,0
18519,N,0,0,0
18727,N,0,0,0
18930,N,0,0,0
19092,V,1,0,0
19333,N,0,0,0
19538,N,0,0,0
19725,V,1,0,0
19850,~,0,0,0
19919,N,0,0,0
20105,N,0,0,0
20291,F,0,0,0
20453,V,1,0,0
20721,N,0,0,0
20932,F,0,0,0
21104,V,1,0,0
21359,N,0,0,0
21560,N,0,0,0
21728,V,1,0,0
21948,N,0,0,0
22148,N,0,0,0
22339,F,0,0,0
22415,+,0,0,0
22492,V,1,0,0
22738,N,0,0,0
22944,N,0,0,0
23128,V,1,0,0
23383,N,0,0,0
23590,N,0,0,0
23786,V,0,0,0
24002,N,0,0,0
24205,N,0,0,0
24395,V,1,0,0
24563,V,1,0,0
24855,N,0,0,0
